,family,given,suffix,particle,dropping_particle,nick,appellation,title,canonical_string_collector_parsed,occurrenceID_collectors_count,occurrenceID_collectors_firstsample,old_index,namematch_source_data,namematch_resource_data,namematch_distance
14158,Preiss,D.,,,,,,,"Preiss, D.",9,https://herbarium.bgbm.org/object/B100293168,12091,"Preiss, D.","Preiss, L.",0.65
14206,Prima,V.,,,,,,,"Prima, V.",1,https://herbarium.bgbm.org/object/B100068578,13368,"Prima, V.","Prima, A.",0.65
14310,Pylaie,,,La,,,,,Pylaie,1,https://herbarium.bgbm.org/object/B310749a01,11922,Pylaie,"Pylaie, J.B.L.",0.65
14386,Quintana,P.,,,,,,,"Quintana, P.",2,https://herbarium.bgbm.org/object/B100031357,3386,"Quintana, P.","Quintana, R.S.",0.65
14495,Rambold,G.,,,,,,,"Rambold, G.",1,https://herbarium.bgbm.org/object/B100205113,259,"Rambold, G.","Gambold, G.",0.65
14529,Ramírez,V.,,,,,,,"Ramírez, V.",201,https://herbarium.bgbm.org/object/B100542413,18838,"Ramírez, V.","Ramírez, J.",0.65
14718,Reichle,S.,,,,,,,"Reichle, S.",1,https://herbarium.bgbm.org/object/B100740059,19364,"Reichle, S.","Reichle, R.E.",0.65
14975,Risse,E.,,,,,,,"Risse, E.",1,https://herbarium.bgbm.org/object/B100367550,1038,"Risse, E.","Risse, H.",0.65
15013,Rivera,O.,,,,,,,"Rivera, O.",20,https://herbarium.bgbm.org/object/B100015844,18171,"Rivera, O.","Rivera, J.",0.65
15060,Roca,V.,,,,,,,"Roca, V.",1,https://herbarium.bgbm.org/object/B101137977,2541,"Roca, V.","Roca, A.",0.65
15061,Rocha,F.,,Dias da,,,,,"Rocha, F.",1,http://id.snsb.info/snsb/collection/445117/545330/228003,10957,"Rocha, F.","Rocha, F.S.",0.65
15231,Rondón,R.,,,,,,,"Rondón, R.",1,https://herbarium.bgbm.org/object/B100240288,18359,"Rondón, R.","Rondón, J.B.",0.65
15320,Roth,Fr,,,,,,,"Roth, Fr",1,https://dr.jacq.org/DR052646,11996,"Roth, Fr","Roth, F.",0.65
15640,Salinas,N.,,,,,,,"Salinas, N.",9,http://id.snsb.info/snsb/collection/719504/786083/423587,8443,"Salinas, N.","Salinas, N.R.",0.65
15803,Sastre,C.,,,,,,,"Sastre, C.",4,https://herbarium.bgbm.org/object/B100057958,11652,"Sastre, C.","Sastre, B.",0.65
15824,Sauter,D.,,,,,,,"Sauter, D.",4,https://je.jacq.org/JE00010235,14294,"Sauter, D.","Sauter, H.",0.65
15918,Scheffer,A.F.,,,,,,,"Scheffer, A.F.",1,https://herbarium.bgbm.org/object/B180009033,13774,"Scheffer, A.F.","Scheffer, J.",0.65
16131,Schmitz,S.,,,,,,,"Schmitz, S.",1,https://herbarium.bgbm.org/object/B100393973,17870,"Schmitz, S.","Schmitz, J.",0.65
16147,Schneider,M.v,,,,,,,"Schneider, M.v",1,https://herbarium.bgbm.org/object/B100256522,11521,"Schneider, M.v","Schneider, J.",0.65
16282,Schulter,R.,,,,,,,"Schulter, R.",1,https://herbarium.bgbm.org/object/B101154632,5701,"Schulter, R.","Schulte, R.",0.65
16435,Schweinitz,,,,,,,,Schweinitz,1,https://herbarium.bgbm.org/object/B101113928b,7941,Schweinitz,"Schweinitz, L.D.d.",0.65
16543,Segovia,L.,,,,,,,"Segovia, L.",10,https://herbarium.bgbm.org/object/B100769937,6106,"Segovia, L.","Segovia, G.V.",0.65
16548,Segura,L.,,,,,,,"Segura, L.",25,https://herbarium.bgbm.org/object/B100759794,17872,"Segura, L.","Segura, J.C.",0.65
